artist,song,explicit,year,popularity,danceability,genre,duration_min
Britney Spears,Oops!...I Did It Again,False,2000,77,0.751,pop,3.5193333333333334
blink-182,All The Small Things,False,1999,79,0.434,rock,2.7844333333333333
Faith Hill,Breathe,False,1999,66,0.529,pop,4.175766666666667
Bon Jovi,It's My Life,False,2000,78,0.551,rock,3.74155
*NSYNC,Bye Bye Bye,False,2000,65,0.614,pop,3.3426666666666667
Sisqo,Thong Song,True,1999,69,0.706,hip hop,4.228883333333333
Eminem,The Real Slim Shady,True,2000,86,0.949,hip hop,4.736666666666666
Robbie Williams,Rock DJ,False,2000,68,0.708,pop,4.309333333333333
Destiny's Child,Say My Name,False,1999,75,0.713,pop,4.522216666666667
Modjo,Lady - Hear Me Tonight,False,2001,77,0.72,Dance/Electronic,5.1192166666666665
Gigi D'Agostino,L'Amour Toujours,False,2011,1,0.617,pop,3.9793166666666666
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,False,1999,56,0.745,pop,4.48105
Bomfunk MC's,Freestyler,False,2000,55,0.822,pop,5.10555
Sting,Desert Rose,False,1999,62,0.586,rock,4.766
Melanie C,Never Be The Same Again,False,1999,61,0.689,pop,4.903333333333333
Aaliyah,Try Again,False,2002,53,0.797,hip hop,4.733333333333333
Anastacia,I'm Outta Love - Radio Edit,False,1999,64,0.761,pop,4.09
Alice Deejay,Better Off Alone,False,2000,73,0.671,pop,3.581383333333333
Gigi D'Agostino,The Riddle,False,1999,64,0.74,pop,4.7571
Dr. Dre,The Next Episode,True,1999,82,0.922,hip hop,2.6917666666666666
Linkin Park,In the End,False,2000,83,0.556,rock,3.6146666666666665
Tom Jones,Sexbomb,False,1999,65,0.801,rock,3.53155
Sonique,It Feels So Good,False,2000,62,0.634,pop,4.014433333333334
M.O.P.,Cold as Ice,True,2000,54,0.656,hip hop,4.074433333333333
Melanie C,I Turn To You,False,1999,54,0.522,pop,5.86955
Limp Bizkit,Take A Look Around,False,2000,72,0.425,metal,5.350666666666666
Darude,Sandstorm,False,2001,69,0.528,pop,3.7582166666666668
Da Brat,What'chu Like (feat. Tyrese),True,2000,53,0.879,hip hop,3.686
Moloko,The Time Is Now,False,2000,54,0.682,pop,5.304666666666667
Chicane,Don't Give Up,False,2016,47,0.644,Dance/Electronic,3.5131
DMX,Party Up,True,1999,71,0.51,hip hop,4.4811
Debelah Morgan,Dance with Me,False,2000,49,0.85,pop,3.668433333333333
Madonna,Music,False,2000,58,0.736,pop,3.7662166666666668
Ruff Endz,No More,False,2000,52,0.839,R&B,4.042666666666666
Britney Spears,Born to Make You Happy,False,1999,58,0.633,pop,4.058883333333333
Montell Jordan,Get It On Tonite,False,1999,59,0.813,hip hop,4.604433333333334
Kylie Minogue,Spinning Around,False,2000,55,0.761,pop,3.4644333333333335
JAY-Z,Big Pimpin',True,1999,69,0.88,hip hop,4.717766666666667
LeAnn Rimes,I Need You,False,2001,61,0.478,pop,3.830433333333333
Avant,Separated,False,2000,55,0.798,pop,4.26
Enrique Iglesias,Be With You,False,1999,54,0.683,pop,3.656
Toni Braxton,He Wasn't Man Enough,False,2000,66,0.739,pop,4.36555
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,False,2000,36,0.852,hip hop,2.93155
Dr. Dre,Forgot About Dre,True,1999,79,0.924,hip hop,3.7048833333333335
Missy Elliott,Hot Boyz,True,1998,49,0.727,hip hop,3.5911
Backstreet Boys,Show Me the Meaning of Being Lonely,False,1999,68,0.63,pop,3.916
Samantha Mumba,Gotta Tell You,False,2018,43,0.729,pop,3.3657666666666666
Mýa,Case Of The Ex (Whatcha Gonna Do),False,2000,59,0.772,pop,3.9484333333333335
Mary Mary,Shackles (Praise You),False,2000,64,0.779,R&B,3.3057666666666665
Next,Wifey,False,2004,52,0.829,hip hop,4.0611
Janet Jackson,Doesn't Really Matter,False,2001,47,0.771,pop,4.4171
Ricky Martin,She Bangs - English Version,False,2000,60,0.63,pop,4.6771
Jagged Edge,He Can't Love U,False,2000,55,0.721,hip hop,4.06755
Sisqo,Incomplete,True,1999,60,0.746,hip hop,4.570433333333333
JAY-Z,I Just Wanna Love U (Give It 2 Me),True,2000,59,0.8,hip hop,3.7977666666666665
Mariah Carey,Thank God I Found You (feat. Joe & 98°),False,1999,59,0.348,pop,4.289333333333333
Baha Men,Who Let The Dogs Out,False,2000,65,0.869,R&B,3.3066666666666666
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",True,1999,63,0.854,pop,4.062216666666667
LeAnn Rimes,Can't Fight The Moonlight,False,2001,65,0.628,pop,3.5917666666666666
Oasis,Go Let It Out,False,2000,0,0.408,Folk/Acoustic,4.644433333333334
DJ Ötzi,Hey Baby (Radio Mix),False,2010,58,0.666,pop,3.654
P!nk,Most Girls,False,2000,52,0.742,pop,4.982666666666667
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),False,2011,0,0.471,pop,3.324666666666667
Craig David,Fill Me In,False,2000,60,0.682,hip hop,4.286666666666667
Christina Aguilera,I Turn to You,False,1999,61,0.599,pop,4.561766666666666
Madonna,American Pie,False,2000,58,0.631,pop,4.558883333333333
Red Hot Chili Peppers,Otherside,False,1999,78,0.458,rock,4.256216666666667
Sammie,I Like It,False,2000,55,0.826,hip hop,4.184
Craig David,7 Days,False,2000,70,0.659,hip hop,3.9188833333333335
Santana,Maria Maria (feat. The Product G&B),False,1999,66,0.777,rock,4.366216666666666
Kandi,Don't Think I'm Not,False,2000,55,0.859,pop,4.058883333333333
P!nk,There You Go,False,2000,55,0.822,pop,3.38
Vengaboys,Shalala Lala,False,2000,58,0.751,pop,3.5803166666666666
Ronan Keating,Life Is A Rollercoaster,False,2000,59,0.655,pop,3.9137666666666666
Madison Avenue,Don't Call Me Baby,False,1999,56,0.808,Dance/Electronic,3.8023333333333333
Destiny's Child,"Jumpin', Jumpin'",False,1999,70,0.771,pop,3.8366666666666664
Céline Dion,That's the Way It Is,False,1999,64,0.634,pop,4.022883333333334
3 Doors Down,Kryptonite,False,2000,78,0.545,pop,3.8988833333333335
Carl Thomas,I Wish,False,2000,52,0.736,pop,3.779333333333333
Mystikal,Shake Ya Ass,True,2000,57,0.914,hip hop,4.282883333333333
Fuel,Hemorrhage (In My Hands),False,2000,49,0.313,rock,3.947766666666667
Donell Jones,Where I Wanna Be,False,1999,57,0.664,pop,4.2271
Savage Garden,Crash and Burn,False,1999,54,0.581,pop,4.6911
Westlife,My Love,False,2000,68,0.491,pop,3.8626666666666667
All Saints,Pure Shores,False,2000,62,0.631,pop,4.4791
Destiny's Child,"Independent Women, Pt. 1",False,2001,65,0.73,pop,3.68555
*NSYNC,It's Gonna Be Me,False,2000,60,0.644,pop,3.184
Erykah Badu,Bag Lady,False,2000,54,0.724,hip hop,5.814883333333333
Marc Anthony,You Sang To Me,False,1999,56,0.578,pop,5.7851
Matchbox Twenty,Bent,False,2000,54,0.518,pop,4.268883333333333
Gabrielle,Rise,False,2001,60,0.558,pop,3.65155
Backstreet Boys,Shape of My Heart,False,2000,70,0.575,pop,3.8348833333333334
Creed,With Arms Wide Open,False,1999,64,0.41,pop,4.58
The Corrs,Breathless,False,2000,68,0.607,pop,3.4584333333333332
Joe,I Wanna Know,False,2000,65,0.725,pop,4.944883333333333
Wheatus,Teenage Dirtbag,True,1999,71,0.625,set(),4.0277666666666665
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,False,1999,64,0.829,pop,3.3888833333333332
Creed,Higher,False,1999,69,0.459,pop,5.278883333333333
Britney Spears,Lucky,False,2000,65,0.765,pop,3.4371
Nelly,Country Grammar (Hot Shit),True,2000,68,0.865,hip hop,4.783333333333333
Shaggy,It Wasn't Me,False,2000,76,0.853,hip hop,3.7933333333333334
Destiny's Child,Survivor,False,2001,70,0.514,pop,4.233766666666667
Eminem,Stan,True,2000,83,0.78,hip hop,6.7351
Kylie Minogue,Can't Get You out of My Head,False,2001,73,0.766,pop,3.844
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",False,2001,68,0.76,pop,4.414883333333333
Nelly Furtado,I'm Like A Bird,False,2000,1,0.622,hip hop,4.052666666666667
Shakira,"Whenever, Wherever",False,2001,74,0.794,pop,3.2693333333333334
Jimmy Eat World,The Middle,False,2001,78,0.643,rock,2.7642166666666665
Train,Drops of Jupiter (Tell Me),False,2001,77,0.481,pop,4.332216666666667
Geri Halliwell,It's Raining Men,False,2001,62,0.637,pop,4.244
Blu Cantrell,Hit 'Em Up Style (Oops!),False,2001,71,0.667,pop,4.178433333333333
Britney Spears,I'm a Slave 4 U,False,2001,69,0.847,pop,3.3933333333333335
Kylie Minogue,In Your Eyes,False,2001,62,0.689,pop,3.2971
Missy Elliott,One Minute Man (feat. Ludacris),True,2001,57,0.622,hip hop,4.216433333333334
Mary J. Blige,Family Affair,False,2001,76,0.911,pop,4.4311
Faithless,We Come 1 - Radio Edit,False,2015,53,0.645,pop,3.70725
Limp Bizkit,Rollin' (Air Raid Vehicle),True,2000,73,0.603,metal,3.562666666666667
Lasgo,Something,False,2001,65,0.643,pop,3.6828833333333333
iio,Rapture (feat.Nadia Ali),False,2006,54,0.661,Dance/Electronic,4.2264333333333335
Emma Bunton,What Took You So Long?,False,2001,54,0.668,pop,4.016666666666667
112,It's Over Now,False,2001,57,0.66,hip hop,4.41555
Blue,All Rise,False,2001,63,0.721,pop,3.7257666666666664
Jessica Simpson,Irresistible,False,2001,43,0.657,pop,3.2337666666666665
Crazy Town,Butterfly,False,1999,71,0.736,rock,3.612216666666667
Michael Jackson,You Rock My World,False,2001,64,0.854,pop,5.6288833333333335
Eve,Let Me Blow Ya Mind,True,2001,73,0.908,hip hop,3.83555
Jennifer Lopez,Ain't It Funny,False,2001,0,0.707,hip hop,4.102666666666667
Brandy,Another Day in Paradise - R&B-Version,False,2002,50,0.7,hip hop,4.5271
Nickelback,How You Remind Me,False,2001,78,0.446,rock,3.7306666666666666
Daft Punk,One More Time,False,2001,76,0.613,hip hop,5.339283333333333
Outkast,Ms. Jackson,True,2000,82,0.843,hip hop,4.5084333333333335
Fragma,Everytime You Need Me - Radio Version,False,2001,50,0.682,pop,3.5557666666666665
Mariah Carey,Loverboy,False,2001,42,0.721,pop,3.81955
Dido,Thank You,False,1999,73,0.725,pop,3.6393333333333335
Joe,Stutter (feat. Mystikal) - Double Take Remix,False,2000,57,0.767,pop,3.5504333333333333
P.O.D.,Youth of the Nation,False,2001,69,0.563,rock,4.270666666666667
Jennifer Lopez,Play,True,2001,57,0.775,hip hop,3.5248833333333334
Missy Elliott,Get Ur Freak On,True,2001,68,0.797,hip hop,3.518666666666667
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),False,2008,52,0.635,pop,4.211766666666667
Christina Milian,AM To PM,False,2001,60,0.872,hip hop,3.85355
Roger Sanchez,Another Chance,False,2000,50,0.61,Dance/Electronic,7.5484333333333336
Gorillaz,Clint Eastwood,True,2001,74,0.663,hip hop,5.682
2Pac,Until The End Of Time,True,2001,57,0.757,hip hop,4.441766666666667
Tamia,Stranger in My House,False,2000,48,0.676,pop,4.756433333333334
Mary J. Blige,No More Drama,False,2001,61,0.653,pop,5.437333333333333
Jennifer Lopez,Love Don't Cost a Thing,False,2001,67,0.786,hip hop,3.6871
Jamiroquai,Little L,False,2001,65,0.878,pop,4.923333333333333
Case,Missing You,False,2001,55,0.612,hip hop,4.744433333333333
112,Peaches & Cream,False,2001,63,0.677,hip hop,3.2182166666666667
Five,Let's Dance - Radio Edit,False,2001,47,0.631,pop,3.6437666666666666
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],False,2001,54,0.464,Dance/Electronic,3.552216666666667
